Country,PRS Score,Total Equity Risk Premium,Rating-based Default Spread,Final ERP,Tax Rate,CRP
Abu Dhabi,#N/A,0.049887888,0.004888978,0.049887888,0.15,0.006587888
Albania,74,0.091297469,0.0356197,0.091297469,0.15,0.047997469
Andorra (Principality of),#N/A,0.064632209,0.015830978,0.064632209,0.1898,0.021332209
Angola,64.25,0.130040525,0.064371549,0.130040525,0.25,0.086740525
Argentina,65.25,0.203448419,0.118848737,0.203448419,0.35,0.160148419
Armenia,66.25,0.091297469,0.0356197,0.091297469,0.18,0.047997469
Aruba,#N/A,0.072631787,0.021767594,0.072631787,0.25,0.029331787
Australia,80.75,0.0433,0,0.0433,0.3,0
Austria,78.5,0.048633052,0.003957744,0.048633052,0.24,0.005333052
Azerbaijan,73.5,0.076710003,0.024794105,0.076710003,0.2,0.033410003
Bahamas,77.25,0.103375264,0.044582827,0.103375264,0,0.060075264
Bahrain,72.75,0.116707894,0.054477188,0.116707894,0,0.073407894
Bangladesh,64.5,0.116707894,0.054477188,0.116707894,0.3,0.073407894
Barbados,#N/A,0.130040525,0.064371549,0.130040525,0.055,0.086740525
Belarus,65.25,0.279112125,0.175,0.279112125,0.18,0.235812125
Belgium,75.25,0.051299578,0.005936617,0.051299578,0.25,0.007999578
Belize,#N/A,0.143373155,0.07426591,0.143373155,0.2853,0.100073155
Benin,#N/A,0.103375264,0.044582827,0.103375264,0.3,0.060075264
Bermuda,#N/A,0.054593522,0.008381106,0.054593522,0,0.011293522
Bolivia,64,0.176783158,0.099060015,0.176783158,0.25,0.133483158
Bosnia and Herzegovina,#N/A,0.130040525,0.064371549,0.130040525,0.1,0.086740525
Botswana,79.5,0.059299156,0.011873233,0.059299156,0.22,0.015999156
Brazil,69.25,0.076710003,0.024794105,0.076710003,0.34,0.033410003
Bulgaria,72,0.064632209,0.015830978,0.064632209,0.1,0.021332209
Burkina Faso,58.75,0.143373155,0.07426591,0.143373155,0.28,0.100073155
Cambodia,#N/A,0.116707894,0.054477188,0.116707894,0.2,0.073407894
Cameroon,61.75,0.143373155,0.07426591,0.143373155,0.33,0.100073155
Canada,81,0.0433,0,0.0433,0.265,0
Cape Verde,#N/A,0.116707894,0.054477188,0.116707894,0,0.073407894
Cayman Islands,#N/A,0.051299578,0.005936617,0.051299578,0,0.007999578
Chile,74.25,0.054593522,0.008381106,0.054593522,0.27,0.011293522
China,#N/A,0.052711269,0.006984255,0.052711269,0.25,0.009411269
Colombia,63.5,0.068710425,0.018857488,0.068710425,0.35,0.025410425
Congo (Democratic Republic of),#N/A,0.130040525,0.064371549,0.130040525,0.3,0.086740525
Congo (Republic of),#N/A,0.163450528,0.089165654,0.163450528,0.28,0.120150528
Cook Islands,#N/A,0.103375264,0.044582827,0.103375264,0.2974,0.060075264
Costa Rica,76,0.091297469,0.0356197,0.091297469,0.3,0.047997469
C_te d'Ivoire,#N/A,0.083454746,0.029799488,0.083454746,0.25,0.040154746
Croatia,74.5,0.059299156,0.011873233,0.059299156,0.18,0.015999156
Cuba,59.5,0.203448419,0.118848737,0.203448419,0.2853,0.160148419
Curacao,#N/A,0.072631787,0.021767594,0.072631787,0.22,0.029331787
Cyprus,71.5,0.059299156,0.011873233,0.059299156,0.125,0.015999156
Czech Republic,78.75,0.051299578,0.005936617,0.051299578,0.19,0.007999578
Denmark,85.5,0.0433,0,0.0433,0.22,0
Dominican Republic,72,0.091297469,0.0356197,0.091297469,0.27,0.047997469
Ecuador,65.75,0.176783158,0.099060015,0.176783158,0.25,0.133483158
Egypt,56,0.143373155,0.07426591,0.143373155,0.225,0.100073155
El Salvador,70.75,0.130040525,0.064371549,0.130040525,0.3,0.086740525
Estonia,71.5,0.052711269,0.006984255,0.052711269,0.2,0.009411269
Ethiopia,54.25,0.163450528,0.089165654,0.163450528,0.3,0.120150528
Fiji,#N/A,0.103375264,0.044582827,0.103375264,0.2,0.060075264
Finland,78,0.048633052,0.003957744,0.048633052,0.2,0.005333052
France,72.25,0.051299578,0.005936617,0.051299578,0.25,0.007999578
Gabon,68.5,0.163450528,0.089165654,0.163450528,0.3,0.120150528
Georgia,#N/A,0.083454746,0.029799488,0.083454746,0.15,0.040154746
Germany,80,0.0433,0,0.0433,0.3,0
Ghana,64.5,0.163450528,0.089165654,0.163450528,0.25,0.120150528
Greece,69.5,0.076710003,0.024794105,0.076710003,0.22,0.033410003
Guatemala,72.5,0.076710003,0.024794105,0.076710003,0.25,0.033410003
Guernsey (States of),#N/A,0.052711269,0.006984255,0.052711269,0,0.009411269
Honduras,66.5,0.103375264,0.044582827,0.103375264,0.25,0.060075264
Hong Kong,77.25,0.051299578,0.005936617,0.051299578,0.165,0.007999578
Hungary,72.75,0.068710425,0.018857488,0.068710425,0.09,0.025410425
Iceland,81.25,0.052711269,0.006984255,0.052711269,0.2,0.009411269
India,73,0.072631787,0.021767594,0.072631787,0.3,0.029331787
Indonesia,70,0.068710425,0.018857488,0.068710425,0.22,0.025410425
Iraq,60,0.143373155,0.07426591,0.143373155,0.15,0.100073155
Ireland,84.25,0.051299578,0.005936617,0.051299578,0.125,0.007999578
Isle of Man,#N/A,0.051299578,0.005936617,0.051299578,0,0.007999578
Israel,72,0.064632209,0.015830978,0.064632209,0.23,0.021332209
Italy,76.25,0.072631787,0.021767594,0.072631787,0.24,0.029331787
Jamaica,74.75,0.103375264,0.044582827,0.103375264,0.25,0.060075264
Japan,77.75,0.052711269,0.006984255,0.052711269,0.3062,0.009411269
Jersey (States of),#N/A,0.049887888,0.004888978,0.049887888,0,0.006587888
Jordan,63,0.091297469,0.0356197,0.091297469,0.2,0.047997469
Kazakhstan,73.75,0.064632209,0.015830978,0.064632209,0.2,0.021332209
Kenya,61,0.143373155,0.07426591,0.143373155,0.3,0.100073155
Korea,#N/A,0.049887888,0.004888978,0.049887888,0.25,0.006587888
Kuwait,78,0.052711269,0.006984255,0.052711269,0.15,0.009411269
Kyrgyzstan,#N/A,0.130040525,0.064371549,0.130040525,0.1,0.086740525
Laos,#N/A,0.176783158,0.099060015,0.176783158,0.2686,0.133483158
Latvia,71.75,0.059299156,0.011873233,0.059299156,0.2,0.015999156
Lebanon,38.5,0.279112125,0.175,0.279112125,0.17,0.235812125
Liechtenstein,#N/A,0.0433,0,0.0433,0.125,0
Lithuania,69.75,0.054593522,0.008381106,0.054593522,0.15,0.011293522
Luxembourg,84,0.0433,0,0.0433,0.2494,0
Macao,#N/A,0.051299578,0.005936617,0.051299578,0.2686,0.007999578
Macedonia,#N/A,0.091297469,0.0356197,0.091297469,0.1,0.047997469
Malaysia,74.75,0.059299156,0.011873233,0.059299156,0.24,0.015999156
Maldives,#N/A,0.163450528,0.089165654,0.163450528,0.2686,0.120150528
Mali,58.5,0.163450528,0.089165654,0.163450528,0.2686,0.120150528
Malta,76,0.054593522,0.008381106,0.054593522,0.35,0.011293522
Mauritius,#N/A,0.072631787,0.021767594,0.072631787,0.15,0.029331787
Mexico,66.75,0.068710425,0.018857488,0.068710425,0.3,0.025410425
Moldova,65,0.130040525,0.064371549,0.130040525,0.12,0.086740525
Mongolia,70,0.116707894,0.054477188,0.116707894,0.25,0.073407894
Montenegro,#N/A,0.103375264,0.044582827,0.103375264,0.15,0.060075264
Montserrat,#N/A,0.072631787,0.021767594,0.072631787,0.2853,0.029331787
Morocco,70.5,0.076710003,0.024794105,0.076710003,0.32,0.033410003
Mozambique,56.75,0.163450528,0.089165654,0.163450528,0.32,0.120150528
Namibia,69.75,0.103375264,0.044582827,0.103375264,0.32,0.060075264
Nepal,#N/A,0.091297469,0.0356197,0.091297469,0.25,0.047997469
Netherlands,80.75,0.0433,0,0.0433,0.258,0
New Zealand,77.25,0.0433,0,0.0433,0.28,0
Nicaragua,67.25,0.116707894,0.054477188,0.116707894,0.3,0.073407894
Niger,53.25,0.176783158,0.099060015,0.176783158,0.2686,0.133483158
Nigeria,55.75,0.143373155,0.07426591,0.143373155,0.3,0.100073155
Norway,86.25,0.0433,0,0.0433,0.22,0
Oman,78.75,0.076710003,0.024794105,0.076710003,0.15,0.033410003
Pakistan,55.25,0.163450528,0.089165654,0.163450528,0.29,0.120150528
Panama,71.5,0.072631787,0.021767594,0.072631787,0.25,0.029331787
Papua New Guinea,68.25,0.116707894,0.054477188,0.116707894,0.3,0.073407894
Paraguay,71.25,0.072631787,0.021767594,0.072631787,0.1,0.029331787
Peru,70.25,0.064632209,0.015830978,0.064632209,0.295,0.021332209
Philippines,71.5,0.068710425,0.018857488,0.068710425,0.25,0.025410425
Poland,76,0.054593522,0.008381106,0.054593522,0.19,0.011293522
Portugal,77.5,0.059299156,0.011873233,0.059299156,0.21,0.015999156
Qatar,80.25,0.049887888,0.004888978,0.049887888,0.1,0.006587888
Ras Al Khaimah (Emirate of),#N/A,0.059299156,0.011873233,0.059299156,0,0.015999156
Romania,68.75,0.072631787,0.021767594,0.072631787,0.16,0.029331787
Rwanda,#N/A,0.116707894,0.054477188,0.116707894,0.3,0.073407894
Saudi Arabia,79.5,0.051299578,0.005936617,0.051299578,0.2,0.007999578
Senegal,61.5,0.103375264,0.044582827,0.103375264,0.3,0.060075264
Serbia,#N/A,0.083454746,0.029799488,0.083454746,0.15,0.040154746
Sharjah,#N/A,0.076710003,0.024794105,0.076710003,0,0.033410003
Singapore,86.75,0.0433,0,0.0433,0.17,0
Slovakia,67.75,0.059299156,0.011873233,0.059299156,0.21,0.015999156
Slovenia,74.25,0.059299156,0.011873233,0.059299156,0.19,0.015999156
Solomon Islands,#N/A,0.143373155,0.07426591,0.143373155,0.3,0.100073155
South Africa,68.5,0.083454746,0.029799488,0.083454746,0.27,0.040154746
Spain,72.75,0.064632209,0.015830978,0.064632209,0.25,0.021332209
Sri Lanka,63.75,0.203448419,0.118848737,0.203448419,0.24,0.160148419
St. Maarten,#N/A,0.083454746,0.029799488,0.083454746,0.2853,0.040154746
St. Vincent & the Grenadines,#N/A,0.130040525,0.064371549,0.130040525,0.2853,0.086740525
Suriname,64.75,0.143373155,0.07426591,0.143373155,0.36,0.100073155
Swaziland,#N/A,0.116707894,0.054477188,0.116707894,0.275,0.073407894
Sweden,80.5,0.0433,0,0.0433,0.206,0
Switzerland,87.5,0.0433,0,0.0433,0.146,0
Taiwan,85.75,0.051299578,0.005936617,0.051299578,0.2,0.007999578
Tajikistan,#N/A,0.130040525,0.064371549,0.130040525,0.18,0.086740525
Tanzania,66,0.103375264,0.044582827,0.103375264,0.3,0.060075264
Thailand,71.25,0.064632209,0.015830978,0.064632209,0.2,0.021332209
Togo,63,0.130040525,0.064371549,0.130040525,0.2686,0.086740525
Trinidad and Tobago,#N/A,0.083454746,0.029799488,0.083454746,0.3,0.040154746
Tunisia,62,0.163450528,0.089165654,0.163450528,0.15,0.120150528
Turkey,60,0.103375264,0.044582827,0.103375264,0.25,0.060075264
Turks and Caicos Islands,#N/A,0.064632209,0.015830978,0.064632209,0,0.021332209
Uganda,61.25,0.130040525,0.064371549,0.130040525,0.3,0.086740525
Ukraine,61.5,0.203448419,0.118848737,0.203448419,0.18,0.160148419
United Arab Emirates,80.75,0.049887888,0.004888978,0.049887888,0.25,0.006587888
United Kingdom,77.25,0.051299578,0.005936617,0.051299578,0.25,0.007999578
United States,73.25,0.0433,0,0.0433,0.25,0
Uruguay,75.5,0.064632209,0.015830978,0.064632209,0.25,0.021332209
Uzbekistan,75.75,0.091297469,0.0356197,0.091297469,0.15,0.047997469
Venezuela,58,0.279112125,0.175,0.279112125,0.34,0.235812125
Vietnam,71.5,0.083454746,0.029799488,0.083454746,0.2,0.040154746
Zambia,67.75,0.163450528,0.089165654,0.163450528,0.35,0.120150528
Algeria,69.25,,0.029799488,0.083454746,0.26,0.040154746
Brunei,81.75,,0.005936617,0.051299578,0.185,0.007999578
Gambia,67.5,,0.044582827,0.103375264,0.27,0.060075264
Guinea,57.75,,0.089165654,0.163450528,0.2915,0.120150528
Guinea-Bissau,63.25,,0.064371549,0.130040525,0.2915,0.086740525
Guyana,75.75,,0.015830978,0.064632209,0.1864,0.021332209
Haiti,54.75,,0.118848737,0.203448419,0.1864,0.160148419
Iran,63.75,,0.064371549,0.130040525,0.2023,0.086740525
"Korea, D.P.R.",51,,0.118848737,0.203448419,0.231,0.160148419
Liberia,58.25,,0.089165654,0.163450528,0.2915,0.120150528
Libya,74.5,,0.015830978,0.064632209,0.24,0.021332209
Madagascar,64.5,,0.054477188,0.116707894,0.2,0.073407894
Malawi,57.75,,0.089165654,0.163450528,0.3,0.120150528
Myanmar,56,,0.099060015,0.176783158,0.22,0.133483158
Russia,69.25,,0.029799488,0.083454746,0.2,0.040154746
Sierra Leone,59.5,,0.089165654,0.163450528,0.25,0.120150528
Somalia,55.5,,0.099060015,0.176783158,0.2915,0.133483158
Sudan,43.5,,0.175,0.279112125,0.35,0.235812125
Syria,46.5,,0.175,0.279112125,0.28,0.235812125
"Yemen, Republic",51.5,,0.118848737,0.203448419,0.2,0.160148419
Zimbabwe,57.75,,0.089165654,0.163450528,0.2472,0.120150528
