ticker,source_etf,country_code,region,section,weight,shares,price,shares_corrected,market_cap_corrected
NVDA,WLS,UW,,Information Technology,4.330869,23444.971,192.57,23444971.0,4514798065.47
MSFT,WLS,UW,,Information Technology,3.723246,7429.881,522.4,7429881.0,3881369834.3999996
AAPL,WLS,UW,,Information Technology,3.562665,14619.625,254.04,14619625.0,3713969535.0
AVGO,WLS,UW,,Information Technology,1.52652,4612.342,345.02,4612342.0,1591350236.84
2330,WLS,TT,,Information Technology,0.83725,18536.26,1440.0,18536260.0,26692214400.0
005930,WLS,KP,,Information Technology,0.310085,4866.415,94400.0,4866415.0,459389576000.0
000660,WLS,KP,,Information Technology,0.140701,487.029,428000.0,487029.0,208448412000.0
6857,WLS,JT,,Information Technology,0.081749,729.074,17835.0,729074.0,13003034790.0
8035,WLS,JT,,Information Technology,0.081426,442.336,29280.0,442336.0,12951598080.0
2317,WLS,TT,,Information Technology,0.079691,11470.093,221.5,11470093.0,2540625599.5
6861,WLS,JT,,Information Technology,0.071005,186.864,60440.0,186864.0,11294060160.0
2454,WLS,TT,,Information Technology,0.058879,1395.629,1345.0,1395629.0,1877121005.0
2308,WLS,TT,,Information Technology,0.056456,1801.667,999.0,1801667.0,1799865333.0
INFO,WLS,IS,,Information Technology,0.050189,3064.034,1514.9,3064034.0,4641705106.6
6702,WLS,JT,,Information Technology,0.04222,1741.586,3856.0,1741586.0,6715555616.0
005935,WLS,KP,,Information Technology,0.040978,815.975,74400.0,815975.0,60708540000.0
6701,WLS,JT,,Information Technology,0.039634,1310.898,4809.0,1310898.0,6304108482.0
6981,WLS,JT,,Information Technology,0.031932,1787.142,2842.0,1787142.0,5079057564.0
6146,WLS,JT,,Information Technology,0.030092,89.149,53690.0,89149.0,4786409810.0
TCS,WLS,IS,,Information Technology,0.027679,845.309,3028.3,845309.0,2559849244.7000003
6762,WLS,JT,,Information Technology,0.026319,1892.946,2211.5,1892946.0,4186250079.0
4901,WLS,JT,,Information Technology,0.026034,1169.439,3541.0,1169439.0,4140983499.0
7751,WLS,JT,,Information Technology,0.024571,883.826,4422.0,883826.0,3908278572.0
4307,WLS,JT,,Information Technology,0.018843,524.448,5715.0,524448.0,2997220320.0
6723,WLS,JT,,Information Technology,0.018348,1624.475,1796.5,1624475.0,2918369337.5
HLMA,WLS,LN,,Information Technology,0.01718,378.63,3562.0,378630.0,1348680060.0
6971,WLS,JT,,Information Technology,0.016773,1339.345,1992.0,1339345.0,2667975240.0
SGE,WLS,LN,,Information Technology,0.014076,962.531,1148.0,962531.0,1104985588.0
HCLT,WLS,IS,,Information Technology,0.014035,867.96,1495.5,867960.0,1298034180.0
285A,WLS,JT,,Information Technology,0.011444,295.492,6160.0,295492.0,1820230720.0
6920,WLS,JT,,Information Technology,0.010006,78.694,20225.0,78694.0,1591586150.0
4684,WLS,JT,,Information Technology,0.009823,309.407,5050.0,309407.0,1562505350.0
NICE,WLS,IT,,Information Technology,0.008526,63.25,45770.0,63250.0,2894952500.0
006400,WLS,KP,,Information Technology,0.008113,58.063,207000.0,58063.0,12019041000.0
4062,WLS,JT,,Information Technology,0.007725,123.496,9950.0,123496.0,1228785200.0
7735,WLS,JT,,Information Technology,0.007519,86.51,13825.0,86510.0,1196000750.0
TSEM,WLS,IT,,Information Technology,0.007468,103.24,24560.0,103240.0,2535574400.0
6841,WLS,JT,,Information Technology,0.006915,245.689,4477.0,245689.0,1099949653.0
009150,WLS,KP,,Information Technology,0.0067,47.151,210500.0,47151.0,9925285500.0
3626,WLS,JT,,Information Technology,0.006441,210.361,4870.0,210361.0,1024458070.0
018260,WLS,KP,,Information Technology,0.003676,32.126,169500.0,32125.999999999996,5445356999.999999
042700,WLS,KP,,Information Technology,0.003233,40.216,119100.0,40216.0,4789725600.0
034220,WLS,KP,,Information Technology,0.002755,261.309,15620.0,261309.00000000003,4081646580.0000005
007660,WLS,KP,,Information Technology,0.002293,44.7,76000.0,44700.0,3397200000.0
058470,WLS,KQ,,Information Technology,0.00166,45.806,53700.0,45806.0,2459782200.0
011070,WLS,KP,,Information Technology,0.001549,11.962,191800.0,11962.0,2294311600.0
039030,WLS,KQ,,Information Technology,0.001406,8.106,257000.0,8106.0,2083242000.0
240810,WLS,KQ,,Information Technology,0.001249,32.472,57000.0,32472.0,1850904000.0
