ticker,source_etf,region
NVDA,SPY,developed
MSFT,SPY,developed
AAPL,SPY,developed
AMZN,SPY,developed
META,SPY,developed
AVGO,SPY,developed
GOOGL,SPY,developed
GOOG,SPY,developed
BRK.B,SPY,developed
TSLA,SPY,developed
JPM,SPY,developed
WMT,SPY,developed
ORCL,SPY,developed
V,SPY,developed
LLY,SPY,developed
MA,SPY,developed
NFLX,SPY,developed
XOM,SPY,developed
COST,SPY,developed
JNJ,SPY,developed
HD,SPY,developed
PLTR,SPY,developed
PG,SPY,developed
BAC,SPY,developed
ABBV,SPY,developed
CVX,SPY,developed
KO,SPY,developed
AMD,SPY,developed
GE,SPY,developed
TMUS,SPY,developed
CSCO,SPY,developed
WFC,SPY,developed
CRM,SPY,developed
PM,SPY,developed
IBM,SPY,developed
UNH,SPY,developed
MS,SPY,developed
INTU,SPY,developed
GS,SPY,developed
ABT,SPY,developed
LIN,SPY,developed
MCD,SPY,developed
DIS,SPY,developed
AXP,SPY,developed
RTX,SPY,developed
MRK,SPY,developed
CAT,SPY,developed
NOW,SPY,developed
T,SPY,developed
PEP,SPY,developed
BKNG,SPY,developed
UBER,SPY,developed
TMO,SPY,developed
VZ,SPY,developed
ISRG,SPY,developed
SCHW,SPY,developed
GEV,SPY,developed
QCOM,SPY,developed
C,SPY,developed
BLK,SPY,developed
TXN,SPY,developed
ACN,SPY,developed
BA,SPY,developed
SPGI,SPY,developed
AMGN,SPY,developed
BSX,SPY,developed
ADBE,SPY,developed
SYK,SPY,developed
ANET,SPY,developed
AMAT,SPY,developed
ETN,SPY,developed
NEE,SPY,developed
DHR,SPY,developed
GILD,SPY,developed
HON,SPY,developed
PGR,SPY,developed
TJX,SPY,developed
DE,SPY,developed
COF,SPY,developed
BX,SPY,developed
PFE,SPY,developed
KKR,SPY,developed
UNP,SPY,developed
LOW,SPY,developed
APH,SPY,developed
ADP,SPY,developed
LRCX,SPY,developed
MU,SPY,developed
CMCSA,SPY,developed
PANW,SPY,developed
KLAC,SPY,developed
COP,SPY,developed
VRTX,SPY,developed
SNPS,SPY,developed
MDT,SPY,developed
CRWD,SPY,developed
ADI,SPY,developed
NKE,SPY,developed
WELL,SPY,developed
CEG,SPY,developed
ICE,SPY,developed
SBUX,SPY,developed
CB,SPY,developed
SO,SPY,developed
DASH,SPY,developed
MO,SPY,developed
PLD,SPY,developed
CDNS,SPY,developed
CME,SPY,developed
MMC,SPY,developed
AMT,SPY,developed
LMT,SPY,developed
COIN,SPY,developed
TT,SPY,developed
BMY,SPY,developed
WM,SPY,developed
DUK,SPY,developed
PH,SPY,developed
MCO,SPY,developed
DELL,SPY,developed
TDG,SPY,developed
RCL,SPY,developed
CTAS,SPY,developed
MCK,SPY,developed
INTC,SPY,developed
MDLZ,SPY,developed
HCA,SPY,developed
ORLY,SPY,developed
GD,SPY,developed
APO,SPY,developed
