ticker,source_etf,region
ASML,VGK,developed
ASML.AS,VGK,developed
SAP,VGK,developed
SAP.DE,VGK,developed
SIE.DE,VGK,developed
ALV.DE,VGK,developed
DTE.DE,VGK,developed
MBG.DE,VGK,developed
BMW.DE,VGK,developed
BAS.DE,VGK,developed
VOW3.DE,VGK,developed
ADS.DE,VGK,developed
MUV2.DE,VGK,developed
DB1.DE,VGK,developed
CBK.DE,VGK,developed
HEN3.DE,VGK,developed
PAH3.DE,VGK,developed
AZN,VGK,developed
AZN.L,VGK,developed
SHEL.L,VGK,developed
SHEL,VGK,developed
HSBA.L,VGK,developed
ULVR.L,VGK,developed
DGE.L,VGK,developed
BP.L,VGK,developed
GSK.L,VGK,developed
RIO.L,VGK,developed
LSEG.L,VGK,developed
NG.L,VGK,developed
BARC.L,VGK,developed
LLOY.L,VGK,developed
VOD.L,VGK,developed
PRU.L,VGK,developed
BT-A.L,VGK,developed
REL.L,VGK,developed
AV.L,VGK,developed
RKT.L,VGK,developed
IMB.L,VGK,developed
BA.L,VGK,developed
GLEN.L,VGK,developed
AAL.L,VGK,developed
EXPN.L,VGK,developed
CRDA.L,VGK,developed
BDEV.L,VGK,developed
RR.L,VGK,developed
STAN.L,VGK,developed
LGEN.L,VGK,developed
INF.L,VGK,developed
SSE.L,VGK,developed
NESN.SW,VGK,developed
NOVN.SW,VGK,developed
ROG.SW,VGK,developed
UHR.SW,VGK,developed
UBSG.SW,VGK,developed
ABBN.SW,VGK,developed
ZURN.SW,VGK,developed
CSGN.SW,VGK,developed
GIVN.SW,VGK,developed
SREN.SW,VGK,developed
SCMN.SW,VGK,developed
LONN.SW,VGK,developed
SLHN.SW,VGK,developed
GEBN.SW,VGK,developed
MC.PA,VGK,developed
OR.PA,VGK,developed
TTE.PA,VGK,developed
SAN.PA,VGK,developed
AIR.PA,VGK,developed
BNP.PA,VGK,developed
SAF.PA,VGK,developed
SU.PA,VGK,developed
EL.PA,VGK,developed
CS.PA,VGK,developed
CAP.PA,VGK,developed
DG.PA,VGK,developed
BN.PA,VGK,developed
VIV.PA,VGK,developed
RI.PA,VGK,developed
EN.PA,VGK,developed
SGO.PA,VGK,developed
GLE.PA,VGK,developed
ACA.PA,VGK,developed
DSY.PA,VGK,developed
KER.PA,VGK,developed
RMS.PA,VGK,developed
STM.PA,VGK,developed
AI.PA,VGK,developed
NOVO-B.CO,VGK,developed
ORSTED.CO,VGK,developed
DSV.CO,VGK,developed
MAERSK-B.CO,VGK,developed
COLB.CO,VGK,developed
DEMANT.CO,VGK,developed
GMAB.CO,VGK,developed
VWS.CO,VGK,developed
TRYG.CO,VGK,developed
JYSK.CO,VGK,developed
ITX.MC,VGK,developed
IBE.MC,VGK,developed
SAN.MC,VGK,developed
BBVA.MC,VGK,developed
TEF.MC,VGK,developed
REP.MC,VGK,developed
AMS.MC,VGK,developed
ENG.MC,VGK,developed
FER.MC,VGK,developed
IAG.MC,VGK,developed
CABK.MC,VGK,developed
SAB.MC,VGK,developed
GRF.MC,VGK,developed
ENI.MI,VGK,developed
ISP.MI,VGK,developed
ENEL.MI,VGK,developed
UCG.MI,VGK,developed
G.MI,VGK,developed
TIT.MI,VGK,developed
STM.MI,VGK,developed
RACE.MI,VGK,developed
MB.MI,VGK,developed
LDO.MI,VGK,developed
BAMI.MI,VGK,developed
TEN.MI,VGK,developed
PRY.MI,VGK,developed
CNHI.MI,VGK,developed
VOLV-B.ST,VGK,developed
ERIC-B.ST,VGK,developed
AZN.ST,VGK,developed
ABB.ST,VGK,developed
ATCO-A.ST,VGK,developed
SEB-A.ST,VGK,developed
HM-B.ST,VGK,developed
SAND.ST,VGK,developed
SWED-A.ST,VGK,developed
ASSA-B.ST,VGK,developed
INVE-B.ST,VGK,developed
HEXA-B.ST,VGK,developed
ESSITY-B.ST,VGK,developed
EQNR.OL,VGK,developed
DNB.OL,VGK,developed
MOWI.OL,VGK,developed
TEL.OL,VGK,developed
ORK.OL,VGK,developed
YAR.OL,VGK,developed
SALM.OL,VGK,developed
NOKIA.HE,VGK,developed
NESTE.HE,VGK,developed
FORTUM.HE,VGK,developed
STERV.HE,VGK,developed
UPM.HE,VGK,developed
SAMPO.HE,VGK,developed
ABI.BR,VGK,developed
KBC.BR,VGK,developed
UCB.BR,VGK,developed
ACKB.BR,VGK,developed
SOLB.BR,VGK,developed
CRH.I,VGK,developed
SMDS.I,VGK,developed
FLT.I,VGK,developed
RYA.I,VGK,developed
GLEN.I,VGK,developed
CPL.I,VGK,developed
EDP.LS,VGK,developed
GALP.LS,VGK,developed
BCP.LS,VGK,developed
JERONIMO.LS,VGK,developed
OMV.VI,VGK,developed
VOE.VI,VGK,developed
ANDR.VI,VGK,developed
POST.VI,VGK,developed
PKO.WA,VGK,developed
PZU.WA,VGK,developed
PEO.WA,VGK,developed
PKN.WA,VGK,developed
KGH.WA,VGK,developed
OPAP.AT,VGK,developed
ALPHA.AT,VGK,developed
ETE.AT,VGK,developed
PPC.AT,VGK,developed
