ticker,source_etf,country_code,region,section,weight,shares,price
NVDA,WLS,UW,,Information Technology,4.330869,23444.971,192.57
MSFT,WLS,UW,,Information Technology,3.723246,7429.881,522.4
AAPL,WLS,UW,,Information Technology,3.562665,14619.625,254.04
AVGO,WLS,UW,,Information Technology,1.52652,4612.342,345.02
2330,WLS,TT,,Information Technology,0.83725,18536.26,1440.0
ORCL,WLS,UN,,Information Technology,0.46827,1643.849,296.96
PLTR,WLS,UW,,Information Technology,0.387036,2175.409,185.47
AMD,WLS,UW,,Information Technology,0.360086,1611.828,232.89
ASML,WLS,NA,,Information Technology,0.357337,381.548,844.1
005930,WLS,KP,,Information Technology,0.310085,4866.415,94400.0
SAP,WLS,GY,,Information Technology,0.273,1030.156,238.85
IBM,WLS,UN,,Information Technology,0.255113,922.691,288.23
CSCO,WLS,UW,,Information Technology,0.240948,3590.352,69.96
CRM,WLS,UN,,Information Technology,0.218263,927.457,245.33
MU,WLS,UW,,Information Technology,0.205916,1116.109,192.33
SHOP,WLS,CT,,Information Technology,0.185187,1177.22,229.88
NOW,WLS,UN,,Information Technology,0.182843,207.646,917.95
QCOM,WLS,UW,,Information Technology,0.173512,1091.878,165.66
LRCX,WLS,UW,,Information Technology,0.172432,1274.859,141.0
AMAT,WLS,UW,,Information Technology,0.168919,799.334,220.3
INTU,WLS,UW,,Information Technology,0.16831,272.061,644.92
TXN,WLS,UW,,Information Technology,0.155809,907.611,178.96
ACN,WLS,UN,,Information Technology,0.151246,625.572,252.04
ANET,WLS,UN,,Information Technology,0.149301,983.64,158.23
APH,WLS,UN,,Information Technology,0.147049,1214.212,126.25
INTC,WLS,UW,,Information Technology,0.144381,3981.818,37.8
APP,WLS,UW,,Information Technology,0.14407,250.18,600.32
ADBE,WLS,UW,,Information Technology,0.141012,423.061,347.47
000660,WLS,KP,,Information Technology,0.140701,487.029,428000.0
PANW,WLS,UW,,Information Technology,0.136287,660.291,215.17
KLAC,WLS,UW,,Information Technology,0.133387,131.994,1053.47
CRWD,WLS,UW,,Information Technology,0.117688,240.973,509.13
ADI,WLS,UW,,Information Technology,0.112747,494.093,237.88
1810,WLS,HK,,Information Technology,0.109874,17124.77,52.05
CDNS,WLS,UW,,Information Technology,0.090776,271.407,348.67
SNPS,WLS,UW,,Information Technology,0.085673,184.371,484.41
6857,WLS,JT,,Information Technology,0.081749,729.074,17835.0
8035,WLS,JT,,Information Technology,0.081426,442.336,29280.0
2317,WLS,TT,,Information Technology,0.079691,11470.093,221.5
